,sqfeet,beds,baths,income,density,rental,sale,ROI
0,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955233
1,1348.9201550149246,3,1,83360.52932617845,5637.74876296595,3959.44,523379.38,132.18520295799405
2,1140.039349288426,1,1,18409.262345481304,39935.9172057209,3399.46,297371.86,87.47620504433057
3,1348.8041886570265,3,1,17382.054067556077,17219.692318277426,3277.96,173274.16285714283,52.86036524458591
4,522.9385391534597,1,1,13327.201795290954,19931.74241681049,2061.585,59677.0,28.94714503646466
5,1356.9810253375856,2,1,13652.390388208723,19456.99145594398,2512.78,67940.95923520923,27.038164596665535
6,1340.2534564728244,4,2,125128.1045039896,5772.992322221239,3582.04,352667.13,98.45426907572222
7,1348.8041886570265,3,1,18281.894381282822,21852.453922796456,2866.12,78561.39296536795,27.410364173645192
8,1340.683367664422,3,2,115648.62958407418,5637.781679846772,3776.04,503777.0258126946,133.41411261869436
9,1353.8669619664972,2,1,13652.390388208723,20549.308332798944,2598.36,67991.95923520923,26.167259053868296
10,1340.683367664422,3,2,123666.68137114521,5637.781679846772,3730.78,405277.25,108.63070189075742
11,1247.7830385158752,2,1,18770.197314158453,17051.705868058794,3122.26,164919.22,52.82046338229359
12,1340.683367664422,3,2,126059.17712995065,6020.825730007113,3583.74,382291.78545454546,106.67397340614707
13,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
14,1340.2235184108874,3,1,83360.52932617845,5637.74876296595,3938.64,521326.49090909096,132.36205667669321
15,765.2482995535753,2,1,22176.574834442617,39802.701585842435,3072.356666666666,124489.0,40.519058659639136
16,1340.553659186732,3,2,117841.9311010842,5637.781679846772,3770.54,458476.0646309246,121.5942715449046
17,1340.6828782270882,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
18,1348.8041886570265,4,1,17536.677489143418,17219.692318277426,3203.75,169761.8,52.98846664065548
19,1337.5014582711458,3,1,17675.784002973018,20975.06919212424,2909.27,116853.86174603175,40.1660422532222
20,728.6506341135673,2,1,22869.91918245331,41190.486771852484,3055.546666666666,122661.875,40.144003146190975
21,1319.1253524056128,3,1,18401.067988621326,22133.00322513665,2871.99,116067.21015873014,40.41351472628044
22,1340.683367664422,3,1,121101.29207259843,5780.028083648886,3582.19,369737.18,103.21540175144256
23,1337.5014582711458,2,1,17675.784002973018,21872.792634128717,2890.93,116503.86174603173,40.29978648602067
24,733.3149936633812,3,1,22178.347372664437,39802.701585842435,3060.773333333333,123911.875,40.48384558586501
25,1331.3801494782463,3,1,17675.784002973018,19887.60580409083,2880.68,116437.61492063492,40.42018374850206
26,1340.683367664422,4,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
27,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
28,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
29,1340.683367664422,3,2,117841.89637883774,5637.781679846772,3770.54,458476.0646309246,121.5942715449046
30,1340.683367664422,4,2,113996.77296566487,5637.781787150607,3772.44,464645.1146309246,123.16832464689288
31,571.6070342724722,1,1,11424.396365254328,19931.74241681049,1894.095,49080.0,25.912111060955233
32,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
33,1340.683367664422,3,1,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
34,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955233
35,1140.039349288426,1,1,18409.262345481304,39577.89332960828,3399.46,297371.86,87.47620504433057
36,522.9385391534597,1,1,13327.201795290954,19931.74241681049,2061.585,59677.0,28.94714503646466
37,1340.683367664422,3,2,115648.62958407418,5637.781679846772,3776.04,503777.0258126946,133.41411261869436
38,1340.683367664422,3,2,120998.9574447721,5637.748662172541,3739.28,422347.3,112.94882972122974
39,1340.553659186732,3,2,117841.9311010842,5637.781679846772,3770.54,458476.0646309246,121.5942715449046
40,1340.6907244290728,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
41,1337.5014582711458,3,1,17732.49488498414,21872.792634128717,2890.93,116503.86174603173,40.29978648602067
42,733.3149936633812,3,1,22178.347372664437,39802.701585842435,3060.773333333333,123911.875,40.48384558586501
43,1340.683367664422,3,2,121101.29207259843,5779.3038377391085,3582.19,369737.18,103.21540175144256
44,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
45,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
46,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
47,1340.683367664422,3,1,121101.29207259843,5780.028083648886,3582.19,369737.18,103.21540175144256
48,1340.683367664422,3,2,117841.89637883774,5637.781679846772,3770.54,458476.0646309246,121.5942715449046
49,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955233
50,1340.683367664422,3,2,126021.8000165086,5637.781679846772,3730.78,405277.25,108.63070189075742
51,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955233
52,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
53,1340.683367664422,3,2,126059.17712995065,5637.781679846772,3730.78,405277.25,108.63070189075742
54,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
55,1337.5014582711458,3,1,17732.49488498414,21872.792634128717,2890.93,116503.86174603173,40.29978648602067
56,1319.1253524056128,3,1,18401.067988621326,22133.00322513665,2871.99,116067.21015873014,40.41351472628044
57,1340.683367664422,3,2,121101.29207259843,5779.3038377391085,3582.19,369737.18,103.21540175144256
58,1337.5014582711458,2,1,17675.784002973018,21872.792634128717,2890.93,116503.86174603173,40.29978648602067
59,1340.683367664422,3,1,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
60,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955233
61,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
62,571.6070342724722,1,1,11598.844041395641,19931.74241681049,1894.095,49080.0,25.912111060955233
63,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
64,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
65,1337.5014582711458,3,1,17675.784002973018,21872.792634128717,2890.93,116503.86174603173,40.29978648602067
66,1340.683367664422,3,1,121101.29207259843,5780.297583950826,3582.19,369737.18,103.21540175144256
67,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955233
68,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955233
69,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
70,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
71,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
72,571.6070342724722,1,1,13754.207607784148,19931.74241681049,1894.095,49080.0,25.912111060955233
73,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955233
74,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
75,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
76,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
77,1340.683367664422,3,2,120998.9574447721,5637.781679846772,3739.28,422347.3,112.94882972122974
78,571.6070342724722,1,1,13664.546986373924,19931.74241681049,1894.095,49080.0,25.912111060955233
79,1340.683367664422,3,2,113996.77296566487,5637.781679846772,3772.44,464645.1146309246,123.16832464689288
80,1340.683367664422,3,2,121101.29207259843,5779.3038377391085,3582.19,369737.18,103.21540175144256
