,sqfeet,beds,baths,income,density,rental,sale,ROI,city
0,1002.6181797322724,3,1,149532.83189228462,57682.04389653316,3906.68,1095919.0282051284,280.5243910955411,"Bronx, NY"
1,2550.0,4,1,27018.264997753373,13210.503403263088,1357.0279999999998,51059.13,37.62570116460383,"Knoxville, TN"
2,1149.624688467146,1,1,11368.0,40373.25715725825,3275.02,297371.86,90.80001343503244,"Bronx, NY"
3,697.1471942786707,4,1,190006.1341636557,95269.42295726328,3395.7799999999997,614370.1931907362,180.92167136585303,"Bronx, NY"
4,464.13589406051534,2,1,11368.0,21934.652941315293,1665.0919230769232,59677.0,35.84006334600608,"Philadelphia, PA"
5,3514.7342632217374,6,1,26916.23109917808,15654.01315074689,2255.48,80518.23,35.6989332647596,"Knoxville, TN"
6,2550.0,4,1,21085.187892548747,21454.45410342676,2464.16,88989.44,36.11349912343355,"Philadelphia, PA"
7,990.672878830608,3,1,130181.71093759932,57249.924411015,3903.28,976226.4972527472,250.1041424783124,"Bronx, NY"
8,768.1303958326855,2,1,21801.226011210874,45255.58765577566,3046.58,128970.25,42.3327961189268,"Bronx, NY"
9,840.1830581602865,1,1,11368.0,41426.3633216122,3115.32,229230.0,73.58152613535688,"Bronx, NY"
10,2799.882188908849,5,1,13078.304079915875,17111.93335246839,2817.38,108569.42,38.53559690208633,"Austin, TX"
11,771.3561179534178,4,1,142233.2357970251,71842.0,3492.85,673358.2441371316,192.7818956259592,"Bronx, NY"
12,983.9571136278264,4,1,89612.54216820763,79910.0731502799,3679.35,762280.0,207.17789827007488,"Bronx, NY"
13,2550.0,4,1,16695.393943714564,19897.74413961727,2712.13,90699.44,33.44214326009446,"Austin, TX"
14,817.4998136556092,3,1,11368.0,40698.76209218534,3058.043333333333,189720.0,62.039670246661,"Bronx, NY"
15,960.0051945765184,3,1,139534.0203078803,57709.53442057465,3859.6,925042.7988523344,239.67323008921508,"Bronx, NY"
16,927.5604415312011,5,1,230952.0,90439.11225152732,3582.27,723330.4684186883,201.9195840678364,"Bronx, NY"
17,886.1060358885791,3,1,133883.06775971985,60764.468323058354,3846.94,894322.5109948539,232.47633469585017,"Bronx, NY"
18,772.8183539133919,4,1,130042.9905710632,71828.65742560709,3513.34,696225.7971014493,198.1663593906224,"Bronx, NY"
19,869.0705227619226,3,1,96232.69322467483,89269.30292561479,3695.79,797510.0,215.7887758774173,"Bronx, NY"
20,929.726300877927,3,1,134950.37945465822,63473.61267997149,3828.9,856497.789328525,223.6929116269751,"Bronx, NY"
21,934.4079008295552,3,1,132385.12611634083,66958.6528293271,3813.3,837280.6075103431,219.5685121837629,"Bronx, NY"
22,843.728332505503,1,1,16953.743541782154,42377.59504123564,3114.28,216210.0,69.42535674377383,"Bronx, NY"
23,927.1012966612252,2,1,94738.7787304114,82170.25506608101,3775.38,814233.2352941176,215.66921350807536,"Bronx, NY"
24,981.3555002977578,5,1,136974.71023321725,86831.75081512718,3560.83,719210.7142857143,201.9783910733493,"Bronx, NY"
25,862.083599473741,4,1,96390.71779837777,83770.84410953805,3751.05,804960.0,214.5959131443196,"Bronx, NY"
26,3057.043461074796,5,1,11368.0,17387.779611104743,2778.39,108269.42,38.96840256407488,"Austin, TX"
27,3082.0808899000817,6,1,11368.0,20426.316750362097,2758.61,96999.44,35.16243325442886,"Austin, TX"
28,3152.427960013132,6,1,11368.0,17910.854944000337,2737.45,94059.43,34.36023671665236,"Austin, TX"
29,2858.181613657536,6,1,17758.420456284228,22095.37271077852,2740.77,96889.44,35.351175034753005,"Philadelphia, PA"
30,2858.181613657536,6,1,17758.42045628422,22095.372710778523,2740.77,96889.44,35.351175034753005,"Philadelphia, PA"
